Product Name,Model,Category,Image(s),Specs,Price (INR),Discount Info,Slide No,Brand,Stock Status,Keywords,Usage Description,cloudinary_url
Air Angle Screwdriver,4467,Screwdriver,64BCEE92-6656-46A2-8878-6322654455F4.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/xGlZsShvk82wHrYJfLCASQ/4DRPt4-IQGefFymIFcHfRDNXxQjL6whYZO-UZjmOiMuPuJGmEXZuzs5Qt73F9v_ZDqW0L_8S4gFXp6oMHLQXKckoJEzVKdvSU2ChdCq57CVnxI-QTVk-6cXzGnDaCfNRpA0nBrR3WSSjhwKvJpXvcGteAze9MXCv03ZJF5rTkNgq3LC_LxsN-qgYncJB2_Xt/xSxqs0PmV1XdWbigwXm5pfgvgX8_J8_FKAVoel4kYTw),"Max Torque: 6 Nm, Capacity Bolt Size: 4–5 mm, Free Speed: 12000 RPM, Length: 220 mm, Net Weight: 1.1 kg",INR 16000.00,Up to 50%,2,Spark Pneumatics,,"Angle screwdriver, 6Nm torque, 12000RPM","Used in electronics assembly, control panels, and light industrial fastening where compact torque tools are required.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342131/qv3kf6vtiluqabw60pmg.jpg
Air Screwdriver,TMC-56SP,Screwdriver,A9A5C908-CD37-4E5F-BD6A-20F772DB4B0C.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/h8KaWnDBYSGpNsbtNBjR1A/IUlG8Pure7KzWygfaGyMO3y0OMTXhCVhDQf5Wv1NmpBEYttm81-nDmmDFYSb46hTSzxNLXG6CWpWWYr8eUjbyIWEv-Y9l2cadIXcZjkwUoV78tThU0ajIPfKZhvRWFmwdxl2MBwrfWZliC7_zcsEOjjpzQxIUym5gJz7k9B6dtbKhvGF6dY4EHSpYsf5KSTU/K4FSXCJXoW4gKaHmLdolBqebrZzibejHbLglq28vfPg),"Square Drive: 1/4, Capacity Bolt Size: 6–8 mm, Free Speed: 10000 RPM, Max Torque: 75 Nm, Length: 195 mm, Air Hose: 3/8, Inlet: 1/4, Consumption: 3.1 CFM, Weight: 0.9 kg",INR 3250.00,,3,Spark Pneumatics,,"Air screwdriver, torque 75Nm",Ideal for workshops and assembly lines to fasten medium-sized bolts quickly and reliably.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342132/xnglsv6zyhd2yzxvmgdb.jpg
Air Impact Wrench,1505,Impact Wrench,22A30C08-2CBE-4CE9-9B8C-A2C9A42C9C96.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/5i6rjxr2D1icMZkUhwFn9Q/eSz7q1ehzHZzlLJaTlMVzIar0oxoAKadxsmKFqUfQ_4fXYNUv8VWaizQYdDz2zD2lqBzCt3-_6e6x5EMn7yKKewZsOMeGYQPMPVzf-hhZ01F6f7yXISCSglzC6HVxBQQhaGUJLAf4bL5pxrvB7LwqsSHjf8aI1O4ASMnnoaL1UG2KkiwiXB6OA6cHOg6XrNr/hYTd3nHS4PLi9Oc6Vd8zMecWvVMQejUksA9PptgURfY),"Square Drive: 1/2, Capacity Bolt Size: 16 mm, Free Speed: 7500 RPM, Max Torque: 650 Nm, Length: 180 mm, Hose: 3/8, Inlet: 1/4 PT, Consumption: 4.2 CFM, Weight: 2.56 kg",INR 6150.00,,4,Spark Pneumatics,,"Twin hammer wrench, 650Nm torque",Widely used in automotive repair shops for tightening and loosening wheel nuts and medium-duty mechanical work.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342133/iagbox5jpl6h0jgigaex.jpg
Air Pistol Type Screwdriver,56PH,Screwdriver,AFC8FF9C-0781-4E11-8CF3-073908E3E6B9.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/K9cCpH3I0xrRNfUf-KuETQ/dHV72b_VkdFnKBq73DwcDmJAI6NqKBX_Y_-3eYjRD9gQU4A5Wi9DUixjR9vZkg9Vdj2UPF4Joap9T7izcycZogb0E0aIjVNt07I3PtppOWLLnL52OQE5XkIV9vUTlXMFbvhjkUB2nn42jUiTB3rnOiDeCyAmpWIAll7ahOTlWbbd4IY-EN7H2H-DImLG9vaP/F_3YpPiq5Y9iUt4bbyXeHEoSrygqJl2_dzDSguAoYF0),"Square Drive: 1/4, Capacity Bolt Size: 10 mm, Free Speed: 9000 RPM, Max Torque: 125 Nm, Length: 155 mm, Consumption: 4.2 CFM, Weight: 1.25 kg",INR 6000.00,Up to 50%,5,Spark Pneumatics,,"Pistol screwdriver, torque 125Nm",Handy in machinery assembly and maintenance tasks where pistol grip offers ease of use in tight spaces.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342134/e0glbkhswwm5y0fku4pm.jpg
Air Sander (Non-Vacuum),P2013,Sander,Image 21-09-25 at 10.14 AM (3).jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/0HYvaGaHp0ebqTrjoaz56Q/ooQMNED7auJyAlpZ5ic_0s3lSFjhYNHGhxtpUkTc0iOb6sJPbjFmArWbdvORdQurCzvIJ1quiUE_DdkQ4NKnATArRITNclCladQzXpNYSKSdDkfq1QdI1TXoMr8T-uAgouO2Ng7-U-_V-ruzKQy5IGyyr2zVgle_T_5OTnM8F2ZNCfuOORl8ZLaBjBS52Dye/tD96RGCmsogF7C3ZNLnaxhItHtL2qIAufwtm3HdKFMQ),"125 mm pad, Orbit: 5 mm, Free Speed: 12000 RPM, Weight: 0.87 kg",INR 6450.00,Up to 50%,6,Spark Pneumatics,,"Air sander, precision sanding","Used for finishing wood, paint, or metal surfaces, providing smooth sanding in carpentry and fabrication.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342135/eim8mit2bgtmno2fm2wm.jpg
Air Sander (Vacuum Type),G2009,Sander,5808B990-EECE-4E22-94E3-8F47AD5320A0.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/z5I9h6mq10qkJXAQSrutmA/VoGF6ZBm4svC393XfQnxbNVxOppmlidGZhJ9ZNq2IkQEu9CZk29dmNSsWovI1yrCp0AqFfLbxGSM1Xogz1VVsxtkG3cmRPDYNpB6-xbtDqTAMK7Mxqr7bIhAsSnbJr-MJJq8MTlu1F92hEB71FZlwn8w8tm5_aqF9sxZbhemTSIu2PyMyeLGSVJz8xjQlcS3/ideE76iolWEsm84R9DNQKGQ3p0yhWgQ8MzX84h9-Xs0),"125 mm pad, Orbit: 5 mm, Free Speed: 9000 RPM, Weight: 0.87 kg",INR 2800.00,Up to 50%,7,Spark Pneumatics,,"Vacuum sander, smooth finishing",Preferred in woodworking and car refinishing where dust collection and clean sanding are required.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342136/ww8vtwpcy9wt8qonbv32.jpg
Air Riveter with Kit,6615K,Riveter,4F800030-918A-4841-8DD9-23AB3DA5A593.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/GBYzMnaGTqAzBB6KsK28KA/OxjaRl2XibBHKiJ_CN7TbE64k3nako0T8gW_lpuPe6Ra4oUq988-87sSShKgVRtb_zi0GxrlSdkP84DXWbiSp6aZNvXk_zWRRlv_Smp-dvFe1_DKFJvoiLAQK7LGVxkDnNry_0lVifw9WDW6i9BzkSVj0Z_TeQckj_P7_68xXtfq-dT3Qqzo50esPDyHbojl/1rwEGdllBrYnJhdRH4ZCr2WzCn3yg11Gd1x5qhhaS1U),"Pneumatic riveter complete with accessories kit. Ideal for sheet metal, fabrication, assembly.",INR 6800.00,Up to 50%,8,Spark Pneumatics,,"Air riveter, sheet metal, assembly","Common in sheet metal fabrication, HVAC ductwork, and construction for quick and strong riveting.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342137/hgivoyk9fyutfe3rtofm.jpg
Air Brad Nailer T50,T50,Nailer,DF9E9F21-529D-463D-9DDD-182ACB95ED60.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/bOgxWyVEx7IERW69EUsvIQ/bNRue_Vz-irlWxnE6xq3fSLVotDY1NHylXgKbW7T-oqgEhr5729jLJSn5qjpr5-Ok_UaeaaYow9eZhKNrip6o7iKgRGD_1SHBuCODo6a91uC9tmswbHuPt2H6F74wkj5qufxJcMgwKEErM3A1OhKdHejKOztPAvBRUduzdechET4E_HDHNUGqR5uwjmnPWqF/dn6gxYU46KI2usu9kFJUjgu6yTdQfEwOVxhTlL8NK0A),"16-gauge brad nailer, side-loading system, durable alloy body, safety lock.",INR 7000.00,,9,Spark Pneumatics,,"Brad nailer, 16-gauge","Used in furniture making, carpentry, and construction where precise nail fastening is required.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342138/psbgc7npmv2qsgm5cijg.jpg
Brad Nails (T series),T-series,Nails,5F9DB3B0-4FDB-4B2E-8275-8E168A4FBA28.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/jgzP_m2kYkNYE0ONFM6yyg/0JI4eZcMmJ94dsZguldFWOciA8pln4Un4rInp5JcnQzEMAi6dWXKQuDm4jMYeCBHxBlidsF4nURCmWTVNvYsNEU09-xC3TCrszWNBSHrXaQmZf58ccxOT8bffot0C4-dUXHUWq76yYSNaDwDmMB0rFXCKNCwfUABRFf2dt22c5P678W4balOhy9dJxmc-7Ik/Tz9nqGL-y2cRLR7mgYQTa2XRkB3pit13ooNB7TC8mug),"16-gauge brad nails, 20–50 mm sizes available.",INR 0.00,"Less than 1 carton → No discount, Customer: ≥ 1 carton → 5% discount, Dealer: ≥ 1 carton → 10% discount",10,Spark Pneumatics,,"T-series brad nails, 16-gauge","Consumable brad nails for T-series nailers, used in furniture and woodworking fastening.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342139/vbdtasa2ldoensty2cn9.jpg
Air Brad Nailer F50,18/50E,Nailer,BB94CA46-D927-47AC-9D65-3C9F842CE8B4.jpeg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/4A4AD1wOHcyKP3xyaPbr7g/ovRWdFxmBfXwgt3vFeL2K5v4k3kRnFDj3WaPdDdaNnOddPPdy1mo4SmYH-Qk-P8XjpB0Byep0eY5QwB9rYWzbIr8vs6p6OGLg52fhJLdsZTLhAYPsDtEgj0GhRVc5rZBty_x6GKUvH_liT6c-cj5WOiKQhHUnL-FNJXdN5QHnJ-uouaVudRhi53UyqddIU9Z/_ae9AsZiYOi5kLiROQ_4wyoP5Z_mAtHUg70i8QLFnuM),"18-gauge brad nailer, nail capacity 15–50 mm, lightweight design for woodworking.",INR 3500.00,,11,Spark Pneumatics,,"Brad nailer, 18-gauge, woodworking",Lightweight nailer used for woodworking and finishing tasks like cabinets and small furniture.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342140/omxsuefgfjbpwtlqcghg.jpg
